title,cover_image,ean,publication_date,summary,book_format,authors
Petit Requin T3,9782810208852_C.jpg,9782810208852,15/01/2025,"Qu'il s'émerveille devant les illuminations de la ville, façonne de beaux petits pains au mochi, vienne en aide à ses amis les dinosaures, découvre les délices de Sept-Poissons, la ville voisine, ou fasse ses premiers pas à l'école élémentaire, le quotidien mignon et irrésistible de Petit Requin est toujours aussi agréable à découvrir et partager en sa compagnie !",15.2x20.9cm,"Penguin Box (Texte et illustration de), Diane Durocher (Traduction de)"
Planetarium Ghost Travel T2,9782810208647_C.jpg,9782810208647,15/01/2025,"Après avoir introduit son univers onirique et intriguant, Sakana Sakatsuki nous plonge dans le passé commun des agents 303 et 505, et nous permet d'en apprendre plus sur leur relation si singulière. S'ensuivent une envoûtante virée en monorail-couchettes et une nouvelle mission bouleversante dans lesquelles les premières révélations laissent place à de nouveaux mystères.",15.2x20.9cm,"Sakatsuki Sakana (Texte et illustration de), Yohan Leclerc (Traduction de)"
Gone with the wind T2,9782810202300_C.jpg,9782810202300,08/01/2025,"Suite et fin de la tourbillonnante histoire de Scarlett O'Hara, dont le caractère intrépide et la passion amoureuse avec Rhett Butler auront transporté des millions de lecteurs à travers le monde. Avec ce deuxième volume, Pierre Alary met le point final à une œuvre prenante permettant de redécouvrir l'œuvre de Margaret Mitchell sous son plus bel éclat.",24.3x32cm,"Pierre Alary (Auteur + illustrateur), Margaret Mitchell (D'après l’œuvre de)"
L'Écuyer et son Chevalier T2,9782810209743_C.jpg,9782810209743,08/01/2025,"Sire Kelton et son écuyer ont promis d'emmener Cade à l'école de magie. Étrangement, le chemin qu'ils empruntent les conduits dans une forêt brumeuse et pleine de danger. Perdus, nos héros comptent sur le génie du jeune écuyer, mais les livres n'ont malheureusement pas toutes les réponses. Parviendra-t-il à trouver un moyen de les sauver de la forêt maudite ?",18.6x25.5cm,"Marc Lesage (Traducteur), Scott Chantler (Texte et illustration de)"
Un putain de salopard T4,9782810206155_C.jpg,9782810206155,20/11/2024,"Herman, mourant, met la main sur le manchot et le contraint à le mener à l'épave de l'avion où repose la dépouille de sa fille. De leur côté, Max et Baïa, accompagnés par Régo, se mettent à la recherche de ce dernier pour obtenir la vérité autour de leurs origines qu'il est le seul à détenir. Tous vont se retrouver réunis au cœur de la jungle pour une ultime confrontation.",0x0cm,"Olivier Pont (Illustrateur), Régis Loisel (Scénariste)"
Seuls T15 : L'hôtel au bord du monde,9782810205929_C.jpg,9782810205929,13/11/2024,"Peut-on se fier aux instructions d'un oiseau ? Guidés par une étrange pie douée de parole, Dodji et ses amis se lancent à la recherche des huit fragments qui leur permettront de reconstituer l'âme affaiblie de la mystérieuse Jézabel. Leur quête les conduit dans un inquiétant hôtel abandonné, perdu au milieu de l'océan : le territoire de l'Enfant-Miroir…",0x0cm,"Fabien Vehlmann (Scénariste), Bruno Gazzotti (Auteur)"
Le Château des étoiles T7 : Planète des brumes,9782810208241_C.jpg,9782810209248,23/10/2024,"En route pour Vénus à la recherche d'une mystérieuse structure extraterrestre, Séraphin et ses amis s'écrasent au cœur d'un continent inexploré. Perdus dans une jungle hostile, ils devront compter sur des alliés inattendus pour franchir la barrière de l'inconnu, affronter de nouvelles menaces, d'anciens ennemis, et découvrir enfin les secrets de la planète des brumes…",0x0cm,
Dessiner le monde : Conversations avec Romain Brethes,9782810206292_C.jpg,9782810206292,16/10/2024,"Depuis une dizaine d'années, Zep explore en parallèle de Titeuf d'autres pans de son œuvre, et creuse un nouveau sillon graphique, plus réaliste et mature. Pourquoi et comment aborder un tel virage artistique sans se trahir ? Au fil de conversations avec Romain Brethes, il retrace son parcours d'auteur, son rapport au dessin et à la bande dessinée, sa grande passion.",0x0cm,Zep (Auteur + illustrateur)
LowReader T5,9782810207138_C.jpg,9782810207138,16/10/2024,"LowReader est une série d'anthologie d'histoires courtes de suspense, d'horreur et d'exploitation, dirigée par Run. Chaque numéro propose trois histoires complètes. Suivez le corbeau !• RUN • Sylvain Repos • Baptiste Pagani",0x0cm,"Run (Scénariste et dessinateur), Sylvain Repos (Texte et illustration de), Baptiste Pagani (Texte et illustration de)"
La Forêt magique de Hoshigahara T3,9782810207770_C.jpg,9782810207770,16/10/2024,"À Hoshigahara se trouve une forêt bien mystérieuse, que l'on dit hantée. En réalité, dans cet endroit hors du temps, la magie opère : les animaux parlent et la nature prend des formes surnaturelles. En son sein réside également Sôichi, un jeune garçon extraordinaire aidant les âmes égarées, ainsi que des esprits ayant pris possession des objets de sa maison.",0x0cm,Hisae Iwaoka (Texte et illustration de)
Ma Mamie adorée T2,9782810207862_C.jpg,9782810207862,16/10/2024,"Japon. Années 1970. Vivant une existence paisible dans la préfecture d'Akita, Ume et Koume sont inséparables. Cette grand-mère et sa petite-fille sont même les meilleures amies du monde. Elles adorent passer du temps ensemble, à jouer, à discuter, à cuisiner… et partagent les moindres instants de leur quotidien avec une bienveillance et une complicité réconfortantes.",0x0cm,Junko Honma (Texte et illustration de)
Planetarium Ghost Travel T1,9782810208715_C.jpg,9782810208715,16/10/2024,"303, nonchalant et énigmatique employé de la compagnie Planetarium Ghost Travel, est chargé de visiter les planètes endormies dont les habitants sont devenus des arbres de Tobias. Il rencontre au fil de ses périples les derniers humains restants, qui font face chacun à leur manière à la perte des gens qui leur étaient chers et apprennent à vivre avec leur solitude.",0x0cm,Sakatsuki Sakana (Texte et illustration de)
Disgrâce,9782810208166_C.jpg,9782810208166,09/10/2024,"Toute la ville murmure que Catherine Benson a perdu sa vertu, et que seul un prétendant vraiment désespéré voudrait désormais d'elle. Andrew Davener, dont le domaine familial est en ruine, voit en la dot considérable de Catherine une potentielle solution. Après leur mariage, Catherine tombe finalement amoureuse de cet homme sensible et secret…",18.7x25.7cm,"Alice Delarbre (Traducteur), Niki Smith (Auteur + illustrateur), Sarah Winifred Searle (Illustration de), Sarah Vaughn (Scénario de)"
Chat perché T3 : Suri et le dragon,9782810203185_C.jpg,9782810203185,09/10/2024,"Suri se rend vers le berceau des monstres avec Caglio, Kolya et le chien géant Byron. Ils doivent passer par la ville de Bridgetown dont le droit d'entrée est hors de leurs moyens. Les dompteurs de monstres étant cependant autorisés à passer gratuitement, Suri se propose pour aider la ville à résoudre un problème avec un dangereux dragon vengeur et étrangement familier…",18.5x25.6cm,"Jo Rioux (Illustrateur), Alice Delarbre (Traducteur)"
