title,cover_image,ean,publication_date,summary,book_format,authors
Sur la route de Whiskyville,9782810218189_C.jpg,9782810218189,26/08/2020,"Dans les années 30, alors que Jed et Thanny sillonnent le pays à la recherche de la légendaire ville des alcools, ils sont poursuivis sans relâche par le redoutable sergent de la gare de triage Ronan O'Feathers, qui leur reproche à tort, la mort de sa femme suite au vol d'une banale tourte. Fuyant O'Feathers et sa bande, nos vagabonds rencontrent une succession de personnages totalement décalés. Certains sont des loosers, d'autres sont cruels et cupides. Dans tous les cas et bien souvent par accident, Jed et Thanny se sortiront de situations ubuesques tout en laissant sur leur passage, le souvenir d'un chaos.",19.2x26.3cm,"Matz (Adaptateur), Joe Flood (Illustrateur), Macon Blair (Scénariste)"
21 jours avant la fin du monde,9782810216086_C.jpg,9782810216086,17/06/2020,"Je m'aperçois qu'il n'y a rien de pire que les silences. C'est comme un poids qui te fait couler à pic, ou un filet qui retient une partie de toi si cachée que tu ne soupçonnais même pas son existence.
Il arrive parfois que ces silences explosent comme des feux d'artifice. Ils libèrent alors leur énergie et jettent leur lumière tout autour d'eux.",18.7x25.6cm,"Marc Lesage (Traducteur), Sualzo (Illustrateur), Silvia Vecchini (Scénariste), Claudia Giuliani (Coloriste)"
Kamarades,9782810216420_C.jpg,9782810216420,17/06/2020,"La Révolution fait ensuite place à la guerre civile. Armée rouge et armée blanche se lancent dans un combat sans merci qui déchire la Russie. La victoire est incertaine. Héroïsme, massacres, trahisons, angoisse, voilà le pain quotidien des soldats rouges et blancs. Bientôt l'armée révolutionnaire gagne la Pologne et menace l'Europe tout entière. En France, le répit de la famille Roumanov tourne court, Volodia et Ania ne semblent point devoir connaître de paix et se lancent une nouvelle fois dans la bataille, au risque de retomber dans les griffes de Staline. Entre amour, drame et manigance politiques l'histoire se met en marche sous nos yeux.",21.1x27.5cm,"Benoît Abtey (Scénariste), Mayalen Goust (Illustrateur), Jean-Baptiste Dusséaux (Scénariste)"
Le Château des étoiles,9782810204700_C.jpg,9782810204700,10/06/2020,"La colonne de martiaux fuit l'invasion prussienne, et espère trouver refuge au-delà des terres interdites du pôle de Mars. Mais les phénomènes étranges se multiplient, et les aigles de guerre de Bismarck menacent… Poussés au bord du désespoir, leur salut viendra-t-il des reliques d'une antique civilisation martienne, ou d'une alliance plus pragmatique avec le tout nouvel empire interplanétaire de Napoléon III ?",23.9x32cm,Alex Alice (Auteur + illustrateur)
Le Château des étoiles T5 : De Mars à Paris,9782810214464_C.jpg,9782810214464,10/06/2020,"La colonne de martiaux fuit l'invasion prussienne, et espère trouver refuge au-delà des terres interdites du pôle de Mars. Mais les phénomènes étranges se multiplient, et les aigles de guerre de Bismarck menacent… Poussés au bord du désespoir, leur salut viendra-t-il des reliques d'une antique civilisation martienne, ou d'une alliance plus pragmatique avec le tout nouvel empire interplanétaire de Napoléon III ?",28.7x37.9cm,
Vent mauvais,9782369811039_C.jpg,9782369811039,10/06/2020,"Je m'appelle Béranger, parisien, quarante-quatre ans, huit kilos en trop et deux filles en garde alternée. Je suis scénariste. J'ai écrit une grosse comédie il y a quinze ans, qui repasse presque chaque Noël. J'ai aussi une maîtresse et une ex-femme qui me fait chier. Pour les kilos, je cours. Pour l'ex-femme, je ne sais pas, la seule solution est de partir loin… Midlife crisis. Ça passe, il paraît…",21.7x28.3cm,Cati Baur (Auteur + illustrateur)
Philocomix,9782369819233_C.jpg,9782369819233,03/06/2020,"A travers les siècles, l'homme n'a cessé de poser des cadres plus ou moins idéaux pour garantir l'épanouissement de chacun au sein du collectif. Comme tout cadre, celui-ci est régulièrement questionné. 
Plongeons-nous avec humour dans les pensées philosophiques nous guidant vers un meilleur ≪ vivre ensemble » Pas moins de dix philosophes de l'Antiquité au 20ème siècle (Aristote, Hobbes, Spinoza, Diderot, Montesquieu, Tocqueville, Mill, Thoreau, Sartre et Arendt…) se succèdent pour nous présenter leur programme bonheur avec effets immédiats sur le quotidien. Et si le bonheur, c'était les autres ?",18.7x25.6cm,"Christophe Bouchard (Coloriste), Jean-Philippe Thivet (Scénariste), Anne-Lise Combeaud (Illustratrice et Scénariste), Jérôme Vermer (Scénariste)"
Le Château des étoiles,9782810208630_C.jpg,9782810208630,27/05/2020,"Après avoir visité la Lune et Mars, Les Chevaliers de l'Ether semblent tristement cloués au sol depuis l'échec de leur tentative visant à convaincre l'Empereur Napoléon III de secourir les Martiaux. Le jeune Séraphin a été jeté en prison, et la Princesse de Mars est détenue pour être exhibée lors de l'Exposition Interplanétaire qui doit s'ouvrir à Paris, le 25 avril 1875 en présence de leurs Majestés les Empereurs de France et d'Allemagne.

Afin de pousser les dirigeants du monde à dénoncer les crimes commis par la Prusse sur Mars, nos héros vont donc devoir libérer la princesse, ou tout au moins ses fabuleux pouvoirs mentaux.

Et ainsi, au nom de la concorde entre les peuples, Hans, Sophie et Séraphin, aidés de Loïc, du capitaine Schneidig et de la journaliste Jocaste Daumier n'ont plus le choix : ils doivent braquer l'Exposition ! Mais à quel prix ?",21.5x29.9cm,Alex Alice (Auteur + illustrateur)
Mes ruptures avec Laura Dean,9782810201839_C.jpg,9782810201839,27/05/2020,"Lorsque Frederica Riley (Freddy) est sortie avec Laura Dean, la plus populaire, drôle et attirante fille du lycée, ce fût l'un des plus beaux jours de sa vie. Depuis, tout a changé…Laura est devenue autocentrée et manipulatrice. Elle ne cesse de quitter Freddy, qui finalement revient toujours vers elle. Cette relation toxique basée sur le « je t'aime, moi non plus » est malsaine, mais c'est plus fort qu'elle, Freddy ne sait pas lutter contre l'attraction magnétique et l'emprise que Laura exerce sur elle. Pour garder un minimum de dignité et ne pas perdre son amie, Doodle, qu'elle délaisse, Freddy cherchera de l'aide auprès de ses proches, d'une chroniqueuse du courrier du coeur et même d'un médium. Frederica saura-t-elle se sortir de cette histoire passionnelle  qui la rend aussi malheureuse que dépendante ?",18.9x25.6cm,"Mariko Tamaki (Scénariste), Fanny Soubiran (Traducteur), Rosemary Valero-O'Connell (Illustrateur)"
C'était mieux avant,9782810217687_C.jpg,9782810217687,18/03/2020,"Flash-back dans les années 60 à 80… Vous vous souvenez quand il fallait se lever pour aller répondre à l'unique téléphone fixe de la famille qui se trouvait généralement dans le couloir ? Des speakrines qui annonçaient le programme du soir juste après le jingle publicitaire d'Antenne 2 avec la pomme, celui qui faisait… A 222222 ou encore quand papa écoutait sur l'autoradio de la Renault 12, le dernier Sardou sur cassette doubles faces ? «Ah là là quel panard !» Hervé Éparvier et Soledad Bravi reprennent et croquent toujours avec humour, des scènes de la vie quotidienne, des expressions, des modes que, nous, nos parents ou nos grands-parents avons connu. Au-delà du constat que les temps ont bien changé, c'est surtout l'occasion de sourire, se remémorer, partager avec les anciennes et nouvelles générations des souvenirs personnels, des instants oubliés. Alors, comme le disait Patrick Sabatier, Stop ou Encore ?!",15.4x21.5cm,"Soledad Bravi (Auteur + illustrateur), Hervé Eparvier (Scénariste)"
Le Château des étoiles,9782810208463_C.jpg,9782810208463,18/03/2020,"La colonne de martiaux fuit l'invasion prussienne, et espère trouver refuge au-delà des terres interdites du pôle de Mars. Mais les phénomènes étranges se multiplient, et les aigles de guerre de Bismarck menacent… Poussés au bord du désespoir, leur salut viendra-t-il des reliques d'une antique civilisation martienne, ou d'une alliance plus pragmatique avec le tout nouvel empire interplanétaire de Napoléon III ?",21.9x29.5cm,Alex Alice (Auteur + illustrateur)
Tous les héros s'appellent Phénix,9782369811084_C.jpg,9782369811084,18/03/2020,"Peut-on monter dans la voiture de quelqu'un que l'on connaît à peine ? Difficile de résister à la tentation si l'automobiliste n'est autre que monsieur Smith, le professeur d'anglais le plus fascinant et le plus séduisant du lycée. Ce soir-là, il a proposé à Phénix et à sa petite soeur, Sacha, de les raccompagner chez elles, de l'autre côté du lac. Elles sont montées dans sa Chevrolet immaculée, et il les a conquises le temps d'un trajet. Quelques jours plus tard, c'est leur mère, Erika, qui se laissait séduire. Monsieur Smith est venu de plus en plus souvent à la maison, accumulant les bons points, avec son don pour la pâtisserie et ses faux airs de Gregory Peck. Phénix et Sacha ont bien remarqué qu'il était un peu trop strict et autoritaire, parfois dur et cassant sans raison. Oh, trois fois rien, pas de quoi s'inquiéter.
Comment auraient-elles pu se douter qu'elles venaient de faire entrer le loup dans la bergerie ?",21.2x27.5cm,"Jérémie Royer (Auteur + illustrateur), Nastasia Rugani (Scénariste)"
Streamliner,9782810209194_C.jpg,9782810209194,18/03/2020,"Lorsque Billy Joe poussera la porte de la station service chez les O'Neil (père et fille), plus rien ne sera comme avant. Cuir, santiags, carabine et Ford V8, le chef des Red Noses attend du monde pour ce qui va devenir la plus grande course sauvage de tous les temps. Une course, jusqu'à la mort… Parmi les quarante enragés alignés au départ : Billy Joe, le chef du gang des Red Noses ; Nikky ‘The Head' le miraculé ; Calamity, l'extravagante star du rock ; les mystérieux frères Jarret ; William Boney dit ‘le Kid' ; la sulfureuse Sue, du gang des Black Panties ; et enfin, au volant de la mythique Black Widow, la jeune Cristal O'Neil… Tous sont prêts à en découdre… Les médias se sont emparés de l'événement, les autorités, dépassées, n'ont pu contenir le flux de centaines de curieux venus assister au run du siècle. Tout le monde est là, les yeux rivés sur les drapeaux. Les moteurs chauffent, la tension monte… Le vieil O'Neil a parié : la station Lisa Dora est en jeu…",21.7x28.3cm,
Béatrice,9782810216253_C.jpg,9782810216253,04/03/2020,"Béatrice est vendeuse au rayon gants d’un grand magasin. Chaque jour elle prend le train pour se rendre au travail. Dans la cohue de la gare, un sac à main rouge attire son attention. Jour après jour, à chaque passage dans la gare, il semble l’attendre. Succombant à sa curiosité dévorante, Béatrice, en emportant l’objet chez elle, ouvre les portes d’un monde nouveau loin de sa routine quotidienne.
Béatrice pourra-t-elle revivre une autre vie et pour combien de temps ? Le mythe de Faust n’est pas loin.
PRIX TALENTS BD CULTURA 2020
PRIX PREMIÈRE BULLE ANGERS BD - OUEST FRANCE 2020
PRIX BD SERIGNAN 2020 
SÉLECTION PRIX FNAC - FRANCE INTER 2021
SÉLECTION PRIX BD LANDERNEAU 2020
SÉLECTION PRIX ACBD 2021
SÉLECTION PRIX DES LYCÉES 2021 ANGOULÊME 
SÉLECTION PRIX RÉVÉLATION ADAGP - QUAI DES BULLES 2020",24.2x32cm,Joris Mertens (Auteur + illustrateur)
Le Château des étoiles,9782810208326_C.jpg,9782810208326,19/02/2020,"La colonne de martiaux fuit l'invasion prussienne, et espère trouver refuge au-delà des terres interdites du pôle de Mars. Mais les phénomènes étranges se multiplient, et les aigles de guerre de Bismarck menacent… Poussés au bord du désespoir, leur salut viendra-t-il des reliques d'une antique civilisation martienne, ou d'une alliance plus pragmatique avec le tout nouvel empire interplanétaire de Napoléon III ?",20.7x29.9cm,Alex Alice (Auteur + illustrateur)
La nuit est mon royaume,9782369819271_C.jpg,9782369819271,19/02/2020,"Nawel est une jeune fille de 20 ans au tempérament de feu qui la pousse à mener toutes ses passions avec excès. Cette force est un atout quand elle la met au service de la création dans son groupe de musique, mais devient autodestructrice quand elle se laisse submerger par la dépression. On découvre sa rencontre dans un collège de banlieue parisienne, avec Alice, sa meilleure amie avec laquelle elle créé un groupe de rock. Leurs études les mènent à Paris, où les jeunes filles sont confrontées de plein fouet au décalage culturel et social entre Paris et la banlieue parisienne. Contrairement à Alice, Nawel coupe les ponts avec sa famille qui n'accepte pas ses choix de vie. Malgré les difficultés, elle a la rage et veut conquérir Paris, qui l'a toujours fait rêver. Lors d'un festival de musique ""jeunes talents"", elle rencontre Isak Olsen, musicien, dont elle tombe immédiatement amoureuse. Fascinée et terriblement jalouse de son talent, il cristallise toutes ses frustrations. Nawel est convaincue que sa réussite est liée à l'inégalité des chances au départ. Cette rencontre lui donne une motivation supplémentaire pour faire exister le groupe. Abandonnant ses études et l'emploi qui la fait vivre, elle décide de se consacrer à la composition d'un premier album. Commence alors pour elle, une période difficile, faite de travail et de sacrifices pour tenter d'atteindre son rêve à n'importe quel prix...",21.2x27.3cm,Claire Fauvel (Auteur + illustrateur)
Calpurnia,9782369816539_C.jpg,9782369816539,19/02/2020,"Calpurnia Tate a onze ans. Dans la chaleur de l'été, elle s'interroge sur le comportement des animaux autour d'elle. Elle étudie les sauterelles, les lucioles, les fourmis, les opossums. Aidée de son grand-père, un naturaliste  elle note dans son carnet d'observation tout ce qu'elle voit et se pose mille questions. Pourquoi, les chiens ont-ils des sourcils ? Comment se fait-il que les grandes sauterelles soient jaunes, et les petites, vertes ? Nous sommes dans le comté de Caldwell, au Texas, en 1899. Tout en développant son esprit scientifique, Calpurnia partage avec son grand-père les enthousiasmes et les doutes de ses découvertes, elle affirme sa personnalité entre six frères et se confronte aux difficultés d'être une jeune fille à l'aube du XXe siècle. Apprendre la cuisine et les bonnes manières ou se laisser porter par sa curiosité insatiable ? Et si la science pouvait ouvrir un chemin vers la liberté ?",21.7x28.2cm,"Daphné Collignon (Illustrateur), Jacqueline Kelly (Auteur)"
Miss Charity,9782369816843_C.jpg,9782369816843,19/02/2020,"Charity en digne petite fille de la bonne société anglaise des années 1880, n'a d'autre choix que de se taire et rester invisible. Comme personne ne fait attention à elle, Charity se réfugie dans la nursery, au troisième étage de la maison, avec Tabitha, la bonne, et Blanche, sa préceptrice qui lui enseigne l'aquarelle. Pour ne pas mourir d'ennui ou même sombrer dans la folie, elle élève des souris, dresse un lapin, étudie des champignons au microscope, apprend Shakespeare par coeur et dessine inlassablement des corbeaux par temps de neige. Sa rencontre avec ses cousin et cousines ainsi que leur séduisant ami Kenneth Ashley va lui faire réaliser qu'à l'extérieur existe un vaste monde qui ne demande qu'à être exploré… 
Les plumes harmonieuses de Loïc Clément et d'Anne Montel révèlent une splendide version naturaliste du chef d'oeuvre de Marie-Aude Murail.",21.7x28.2cm,"Anne Montel (Illustrateur), Marie-Aude Murail (Auteur), Loïc Clément (Scénariste)"
L'amant,9782369819080_C.jpg,9782369819080,22/01/2020,"La narratrice, c'est l'auteure elle-même. Elle a 15 ans et vit en Indochine avec sa mère, veuve, et ses deux frères. Pensionnaire dans un lycée pour étudier les mathématiques, elle ne rêve que de devenir écrivain. Sur le bac qui traverse le fleuve séparant son lycée de sa pension, elle fait la connaissance d'un riche Chinois. Ils tombent éperdument amoureux et s'engagent dans une relation régie par l'amour et l'argent qui durera un an et demi. Ils se voient régulièrement et ce premier amour fort mais ambigu impose à la jeune fille de faire face à la honte, la peur, la jalousie, et de parvenir à trouver sa place au sein d'une famille où il est difficile de s'affirmer.",21.7x28.2cm,"Corinne Quentin (Traducteur), Kan Takahama (Illustrateur), Marguerite Duras (Scénariste)"
Les Spectaculaires,9782369818991_C.jpg,9782369818991,22/01/2020,"Décembre 1910. Le Palais de l'Elysée est victime d'un cambriolage. Le Président Fallières découvre son coffre-fort pillé : bijoux et liasses de billets ont disparu, mais plus important encore, des documents ultra-confidentiels, susceptibles de mettre en péril la sécurité du pays, ont été dérobés. Seule une carte de visite avec un lapin dessiné, est retrouvée dans le coffre-fort. Plus de doute, il s'agit de l'oeuvre d'Arsène Lapin, gentleman cabrioleur. Les Spectaculaires se voient alors confier une curieuse mission : pour récupérer ces précieux papiers, la joyeuse troupe doit remporter, sans tricher, la grande course automobile qui reliera Paris à Berlin, au printemps prochain ! Sans quoi Arsène Lapin menace de divulguer ces documents aux rédactions des plus grands journaux d'Europe... L'enjeu est de taille pour notre fine équipe, embarquée contre leur gré dans une folle aventure qui les conduit de Paris à Bruxelles, Amsterdam et Berlin. Parviendront-ils à remporter la grande course ? Attention, ça risque de décoiffer !",24x31.9cm,"Christophe Bouchard (Coloriste), Arnaud Poitevin (Illustrateur), Régis Hautière (Auteur)"
Le Château des étoiles,9782810204922_C.jpg,9782810204922,08/01/2020,"La colonne de martiaux fuit l'invasion prussienne, et espère trouver refuge au-delà des terres interdites du pôle de Mars. Mais les phénomènes étranges se multiplient, et les aigles de guerre de Bismarck menacent… Poussés au bord du désespoir, leur salut viendra-t-il des reliques d'une antique civilisation martienne, ou d'une alliance plus pragmatique avec le tout nouvel empire interplanétaire de Napoléon III ?",21.9x29.8cm,Alex Alice (Auteur + illustrateur)
La Venin,9782369815860_C.jpg,9782369815860,08/01/2020,"Emilie est recherchée et sa tête est mise à prix. Poursuivant sa fuite en tenue de nonne, elle est sœur Maria quand elle arrive à Galveston, au Texas. Elle n'est pas là par hasard, elle cherche le révérend Alister Coyle, celui-là même qui dirige l'orphelinat pour jeunes filles de la ville. Sous couvert de cette nouvelle identité, elle est hébergée quelques jours au sein de son institution. Le décès d'une pensionnaire et surtout la tentative de suicide de l'une d'elles ne laissent aucun doute sur le comportement malsain et les sévices commis par le révérend. Il est temps de rendre justice ! Emily s'en chargera et Dieu en sera témoin. Au dehors, la nature gronde, un ouragan se prépare, cette colère grandissante mêlée à celle d'Emily annonce qu'il faut fuir à nouveau, cette fois en bateau, direction la Pennsylvanie.",23.9x31.9cm,Laurent Astier (Auteur + illustrateur)
La Venin T2 : Lame de fond,9782810201433_C.jpg,9782810201433,08/01/2020,"Emilie est recherchée et sa tête est mise à prix. Poursuivant sa fuite en tenue de nonne, elle est sœur Maria quand elle arrive à Galveston, au Texas. Elle n'est pas là par hasard, elle cherche le révérend Alister Coyle, celui-là même qui dirige l'orphelinat pour jeunes filles de la ville. Sous couvert de cette nouvelle identité, elle est hébergée quelques jours au sein de son institution. Le décès d'une pensionnaire et surtout la tentative de suicide de l'une d'elles ne laissent aucun doute sur le comportement malsain et les sévices commis par le révérend. Il est temps de rendre justice ! Emily s'en chargera et Dieu en sera témoin. Au dehors, la nature gronde, un ouragan se prépare, cette colère grandissante mêlée à celle d'Emily annonce qu'il faut fuir à nouveau, cette fois en bateau, direction la Pennsylvanie.",28.2x37cm,
Couleurs de l'incendie,9782369815006_C.jpg,9782369815006,19/12/2019,"Février 1927. Le Tout-Paris assiste aux obsèques de Marcel Péricourt. Sa fille, Madeleine, doit prendre la tête de l'empire financier dont elle est l'héritière, mais le destin en décide autrement. Son fils, Paul, d'un geste inattendu et tragique, va placer Madeleine sur le chemin de la ruine et du déclassement. Face à l'adversité des hommes, à la cupidité de son époque, à la corruption de son milieu et à l'ambition de son entourage, Madeleine devra déployer des trésors d'intelligence, d'énergie mais aussi de machiavélisme pour survivre et reconstruire sa vie. Tâche d'autant plus difficile dans une France qui observe, impuissante, les premières couleurs de l'incendie qui vont ravager l'Europe.",21.8x28.4cm,"Christian de Metter (Auteur + illustrateur), Pierre Lemaitre (Scénariste)"
Avez-vous lu les classiques de la littérature ?,9782810200009_C.jpg,9782810200009,06/11/2019,"Vous n'avez toujours pas lu L'Écume des jours ? Vous ne vous rappelez plus pourquoi Edmond Dantès cherche vengeance ni qui est l'assassin de Mort sur le Nil ? Détendez-vous, ce recueil est là pour remédier à ces manques cruels !

Pascale Frey et Soledad Bravi récidivent et s'attaquent à nouveau à plus d'une vingtaine de classiques de la littérature, proposant des résumés toujours plus malicieux et pétris d'humour.",15.4x21.6cm,"Soledad Bravi (Auteur + illustrateur), Pascale Frey (Scénariste)"
Frères de terroirs - Les quatre saisons,9782810205240_C.jpg,9782810205240,06/11/2019,"Ils sont apiculteurs, maraîchers, vignerons, bouchers... Ce sont les fournisseurs d'Yves Camdeborde depuis des années, avec qui ils partagent le goût du bien-manger et du bien-produire. Un an de rencontres avec les producteurs favoris du chef cuisinier, mis en dessin par Jacques Ferrandez, pour aller à la découverte de chasseurs de truffes, pêcheurs de brochets et vignerons aux quatre coins de la France.
Une belle peinture de savoir-faire et de convivialité.",21x27.6cm,"Jacques Ferrandez (Auteur + illustrateur), Yves Camdeborde (Scénariste)"
Astrid Bromure,9782369816775_C.jpg,9782369816775,23/10/2019,"Il neige abondamment sur la ville, Astrid s'ennuie terriblement et personne ne veut jouer avec elle. Aussi, quand elle entend à la radio qu'un Yéti s'est évadé du zoo et se retrouve en liberté, elle fait tout pour essayer de l'apercevoir à travers ses jumelles. Quelle surprise lorsqu'elle l'aperçoit enfin sur sa terrasse ! Puisque aucun adulte ne la croît, elle décide d'aller capturer le fugitif elle-même. Et si ce Yéti n'était finalement pas l'abominable et sauvage homme des neiges mais plutôt un nouveau compagnon de jeux ? L'homme des neiges sera-t-il accepté par l'entourage d'Astrid ? Saura-t-on lui faire une place dans cette vie urbaine ?",21.6x28.2cm,"Fabrice Parme (Auteur + illustrateur), Véronique Dreher (Coloriste)"
Lettres d'amour de 0 à 10,9782369810414_C.jpg,9782369810414,23/10/2019,"La mère d'Ernest est morte et son père a disparu. Ernest a été recueilli par Précieuse, sa grand-mère. Aujourd'hui, à dix ans, il ne connaît que la vie ennuyeuse qu'il partage avec elle. Excellent élève, Ernest prend garde à rester éloigné des autres. Jusqu'au jour où Victoire arrive dans sa classe. Elle  a treize frères, ce n'est pas Ernest qui va l'impressionner. Au contraire, la voilà qui le sort de la monotonie pour le projeter dans la vie",21.6x28.2cm,"Thomas Baas (Illustrateur), Susie Morgenstern (Scénariste)"
Sombres citrouilles,9782369811398_C.jpg,9782369811398,23/10/2019,"Aujourd'hui, 31 octobre, trois générations de Coudrier sont réunies à la Collinière, la grande demeure familiale entourée de forêts et d'étangs, pour fêter, comme chaque année, l'anniversaire de Papigrand, le patriarche. Comme c'est aussi Halloween, Mamigrand a envoyé les petits chercher des citrouilles au potager pour les voisins américains. Mais dans le carré de cucurbitacées encore enveloppé des brumes de l'aube, il y a comme un pépin. Un homme étendu de tout son long, plein de taches rouges, silencieux. Mort. À première vue, personne ne le connaît. L'affaire pourrait donc n'être pas si grave que ça. Le problème, c'est que dans la famille, il y a au moins trois mobiles criminels possibles. Donc trois assassins potentiels. Sans compter tous les secrets qu'on n'a pas encore découverts...",21x27.4cm,"Nicolas Pitz (Illustrateur), Malika Ferdjoukh (Auteur)"
Toni,9782810201990_C.jpg,9782810201990,23/10/2019,"Toni est un joueur de foot passionné, il vit pour le foot ! Lorsqu'il découvre les toutes nouvelles """" Renato Flash """", une chose est sûre : il faut qu'il obtienne ces chaussures. Comme sa mère ne voit pas cela du même oeil, Toni n'a d'autre choix que de prendre les choses en main. Il se démène dans tous les sens afin de réaliser son rêve : il distribue des prospectus, promène des chiens, joue de la musique dans la rue… Philip Waechter raconte l'histoire de Toni dans une BD alliant humour et ironie.",21.6x28.2cm,"Philip Waechter (Auteur + illustrateur), Svea Winkler-Irigoin (Traducteur)"
Optic Squad,9782369819219_C.jpg,9782369819219,09/10/2019,"Katryn Horst, 22 ans intègre les Optic Squad, unité d'élite supervisée par l'ONU et destinée à la lutte contre le crime organisé international. Accompagnée par l'agent Valdo Reyes, leur première mission sera d'infiltrer et démanteler un impitoyable réseau de trafic humain, dont les ramifications remontent aux plus hautes sphères d'une société ultra-corrompue. Dans leur combat, ils disposent de plusieurs armes : des nano-caméras greffées dans leur cornée, permettant de filmer tout ce qu'ils voient, mais également d'opérateurs les suivant depuis leur QG en soutien tactique. 
Katryn devra prouver qu'elle a sa place au sein de cette unité alors qu'elle se retrouvera confrontée à ses propres traumatismes du passé.",24.1x32.1cm,"Stéphane Bervas (Illustrateur), Sylvain Runberg (Scénariste), Florence Fantini (Coloriste)"
Jack & Zita,9782810202782_C.jpg,9782810202782,09/10/2019,"Jack et Lilly sont déjà de vrais héros : Ils se sont liés d'amitié avec des dragons, ont combattu des géants, et ont même gagné la loyauté d'une armée de gobelins ! Alors lorsqu'ils rencontrent Zita, la fille de l'espace fraîchement sortie de ses voyages interplanétaires, ils n'hésitent pas à lui venir en aide pour affronter ensemble une nouvelle menace. Mais l'aventure n'est pas sans danger et se révèle plus redoutable que tout ce que les nouveaux amis auraient pu imaginer : une armée de géants se tient prête à assiéger la Terre, déterminée à mettre fin à l'ère des humains... Avec la porte entre les mondes, qui s'affaiblit dangereusement, et le temps qui s'écoule, les héros parviendront-ils à sauver leur monde de son plus grand ennemi ?",15.4x21.5cm,"Fanny Soubiran (Traducteur), Ben Hatke (Auteur + illustrateur)"
Chaplin,9782369814603_C.jpg,9782369814603,18/09/2019,"Comment un garçon, né dans un quartier pauvre de Londres, de deux parents artistes ratés, père alcoolique, mère folle, a pu devenir, à 25 ans, le plus grand cinéaste de son temps, en mettant Hollywood ses pieds ; l'inventeur du cinéma moderne, un créateur visionnaire et un acteur d'exception, légende vivante, porte-parole des misérables, des moins que rien, des vagabonds, et producteur immensément riche, artiste engagé dans tous les combats de son temps, dictatorial avec les siens, et que son amour des femmes rend un colosse aux pieds d'argile dans l'Amérique puritaine. C'est cette conquête de l'Amérique que retracera ce premier volume. D'une vie de misère à la Oliver Twist à la gloire absolue d'un géant, adulé de New York à San Francisco que vient déjà menacer la passion de la chair et l'engagement politique. Cette première aventure débute en 1910 quand il quitte l'Angleterre pour les Etats-Unis et se termine vers 1920, en pleine notoriété puisqu'il est déjà une des personnalités les plus connues au monde.",24.1x32.1cm,"Laurent Seksik (Scénariste), David François (Illustrateur)"
Compte à rebours,9782369814542_C.jpg,9782369814542,18/09/2019,"Le lendemain de l’attaque du Louvre, la conférence de presse du Procureur de la République fait état de 32 blessés et 22 morts dont 4 des 5 terroristes. Alors que l’opération aurait pu être un massacre, elle n’en reste pas moins un désastre pour les médias et l’opinion publique qui s’interrogent sur la présence du RAID en amont de l’attentat et s’inquiètent que le dernier terroriste ait pu s’échapper. Ce d’autant plus qu’il s’agit d’Abou Othman que les autorités considéraient comme mort. Tandis que les organes français de l’anti-terrorisme (DGSE et la DGSI) se courtcircuitent, des révélations permettent au juge Duquesne de reprendre la main sur l’instruction de l’attentat du Louvre qui laisse en entrevoir d’autres bien plus ambitieux et concomitants. Alors que certains d’entre eux se produiront, le juge retrouvera la trace d’Abou Othman sous la protection d’un Prince saoudien… commence alors sa traque après des autorités saoudiennes…
La France pourra-t-elle juger l’un de ses plus grands terroristes ?",24x32cm,"Matz (Adaptateur), Giuseppe Liotti (Illustrateur), Marc Trévidic (Scénariste), Christophe Bouchard (Coloriste)"
Darnand - Le bourreau français,9782369811046_C.jpg,9782369811046,28/08/2019,"Darnand comprend qu'Ange ne le suit pas dans sa collaboration avec les allemands. Leur fraternité n'est plus qu'un souvenir et Ange devient une menace pour le bourreau français qui poursuit son inexorable plongée vers la barbarie avec une constance glaçante. Tandis que les alliés débarquent sur les plages de Normandie, l'Allemagne en déroute entraîne dans son sillage les collaborateurs les plus zélés du régime de Vichy. Darnand choisi la fuite. Il rejoint l'Italie avec ce qu'il reste de ses troupes. Très vite, il sera capturé par les anglais. L'occasion d'un ultime face à face avec Ange avant d'être jugé., condamné et exécuté par des soldats de la France Libre. Qu'est-ce qui a pu pousser cet homme, si peu ordinaire et pourtant tristement humain, à basculer dans l'abject aux côtés des nazis ?",24.1x32cm,"Fabien Bedouel (Illustrateur), Patrice Perna (Scénariste), Sandrine Bonini (Coloriste), Ariane Borra (Coloriste)"
Graines de bandits,9782369811015_C.jpg,9782369811015,28/08/2019,"Nous sommes en Amérique et le calendrier affiche 1973. Par ici, la modernité vient tout juste d'arriver. Pourtant, il suffit de s'éloigner de la ville de quelques centaines de kilomètres pour reculer de plusieurs décennies. Tout est contraste, tout est neuf ou inexploré, tout semble possible. C'est dans ce contexte que deux jeunes parents quittent la ville avec leurs deux fils pour s'installer en campagne dans le but avoué de fuir la modernité. Cependant, rien ne se passe comme prévu et le climat familial se détériore rapidement. La seule option pour les deux frères est de fuir. Fuir chaque jour les violences parentales vers les champs et les bois, pour s'inventer une autre existence. Dans ce petit village perdu, à force d'aventures, de mauvais coups et d'amours d'été c'est toute la vie qui leur sera révélée.",18.7x25.5cm,Yvon Roy (Auteur + illustrateur)
